	exTreg_Spleen_exTreg7_L1
10FTHF5GLUtl_pos	3815.281949073373
10FTHF5GLUtm_pos	6303.832693557522
10FTHF6GLUtl_pos	4591.241101030021
10FTHF6GLUtm_pos	6691.089255144148
10FTHF7GLUtl_pos	5108.5472023344555
10FTHF7GLUtm_pos	6950.681252039059
10FTHFtl_neg	3815.281949073373
10FTHFtl_pos	0.0
10FTHFtm_neg	10683.87917114931
10FTHFtm_pos	22637.663257159715
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	69945.14895641906
11DOCRTSLtr_neg	69945.14895641907
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	72869.03892280227
11DOCRTSTRNtr_neg	72869.03892280233
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	47841.95297048971
1MNCAMti_pos	60.24507820492917
1PPDCRp_pos	73.42062447621757
1a25DHVITD3TRn_pos	67092.26518968494
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.04332498612593
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.553647352400013
24_25DHVITD2tm_pos	13.553647352400013
24_25DHVITD3t_pos	66999.56428282084
24_25DHVITD3tm_pos	69550.04345955925
24_25VITD2Hm_pos	13.553647352400013
24_25VITD3Hm_pos	69550.04345955917
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	67092.26518968471
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11495.492125725184
2AMACSULT_pos	29406.005524644952
2AMADPTm_pos	8163.521855498626
2DR1PP_pos	6151.244472237933
2HBO_neg	16225.112291016741
2HBO_pos	11.20778996580312
2HBt2_neg	1383.1892168456422
2HBt2_pos	1383.1892168456422
2HCO3_NAt_neg	1413.15904852421
2HCO3_NAt_pos	1413.15904852421
2MB2COAc_neg	0.0
2MB2COAc_pos	19820.524676762874
2MCITt_neg	0.0
2MCITt_pos	24631.938366217048
2OXOADOXm_pos	129.19127482648906
2OXOADPTm_neg	8163.521855498624
2OXOADPTm_pos	149.89490255270354
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	45583.19093243224
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	45583.190932432255
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	883.7824537644872
34DHPHEt_neg	883.7824537644872
34DHPHEt_pos	4.640059410824888
34DHPLACOX_NADP__neg	1419.4764001037897
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1419.4764001037897
34DHXMANDACOX_NADP__neg	1419.4764001037897
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1419.4764001037897
34HPLFM_pos	75198.68103152841
34HPPOR_pos	67207.1558912676
34HPPte_neg	11023.418819826942
34HPPte_pos	7634.305946036294
35CGMPtn_neg	0.0
35CGMPtn_pos	14473.114039875121
3AIBTm_neg	0.0
3AIBTm_pos	19091.697029784864
3AIB_Dtm_neg	18954.005073189113
3AIB_Dtm_pos	33267.525098585014
3AIBt_pos	19091.69702978486
3AIBtm_pos	19091.69702978486
3DPHBH1_pos	75198.68103152837
3DPHBH2_pos	75198.68103152845
3DSPHR_pos	30537.35015788287
3HAO_pos	78.01513990134347
3HBCDm_neg	0.0
3HBCDm_pos	18314.70734110446
3HBCOAHLm_pos	24184.575108769448
3HBCOARc_neg	0.0
3HBCOARc_pos	18314.707341104455
3HCO3_NAt_neg	2091.2507049968
3HCO3_NAt_pos	2071.2389620510976
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	11761.372034385005
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	16799.833980595275
3MOBt2im_pos	6056.494276441037
3MOBte_neg	6.675685086383995
3MOBte_pos	8318.164207526646
3MOPt2im_pos	6056.494276441037
3MOPte_neg	26.307042154025112
3MOPte_pos	8315.655789700608
3MOX4HOXPGALDOX_NADP__neg	1418.1568882876318
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1418.1568882876318
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	26521.48037807319
3SALAASPm_pos	0.0
3SALACBOXL_pos	13397.782128659044
3SALAOX_pos	34523.53275961594
3SALATAi_pos	21551.32178434033
3SALATAim_pos	26521.48037807319
3SPYRSP_pos	21551.32178434033
3SPYRSPm_pos	26521.48037807319
41R1H2MAE12BOOX_pos	55915.549629730514
41R2A1H12BOOX_pos	45583.190932432284
42A12BOOX_pos	0.0
4ABUTtcn_pos	13298.902190068984
4ABUTtm_neg	16410.727393902802
4ABUTtm_pos	20897.581230794738
4HBZCOAFm_pos	75198.68103152845
4HBZFm_pos	75198.68103152845
4HDEBRISOQUINEte_neg	7.394820424163821
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	3614.1736411626525
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	15350.193908391293
4HPROLTASCT1_pos	2343.4930979403694
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	6056.494276441037
4MOPte_neg	8921.674397769122
4MOPte_pos	8309.02566559344
4MPTNLte_neg	0.0
4MPTNLte_pos	80788.82250829537
4MPTNLtm_neg	80788.82250829537
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.623821061810302
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	29.79294880046407
4NPHSFte_pos	0.0
4NPHSULT_pos	29.792948800464064
4NPHte_neg	0.0
4NPHte_pos	17.04332498612593
4OHPROIMINOtc_pos	2343.4930979403694
4PYRDX_pos	10824.184919537587
5ADTSTSTERONEGLCte_pos	94129.24447032617
5ADTSTSTERONEGLCtr_neg	94129.24447032617
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	13222.330551599276
5ADTSTSTERONESte_neg	9.267578474676045
5ADTSTSTERONESte_pos	73570.20804876095
5ADTSTSTERONEte_neg	75708.91687624759
5ADTSTSTERONEte_pos	8.449125888606629
5ADTSTSTERONEtr_neg	45.3974997352557
5ADTSTSTERONEtr_pos	75711.51047340552
5AOPtm_neg	21887.073217433095
5AOPtm_pos	0.0
5DHFtl_pos	3815.281949073373
5FTHFt2_neg	0.0
5FTHFt2_pos	10.82668046778053
5HLTDL_pos	9.625695882742903
5HOMEPRAZOLEte_neg	7.623821061810302
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	3800.0
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	9.613207881204275
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	21305.65097436959
5MTAte_pos	17069.624911776424
5MTHFt2_neg	2094.868494432678
5MTHFt2_pos	2094.868494432678
5MTHFt2le_neg	2289.736988865356
5MTHFt2le_pos	2289.736988865356
5MTHFt_neg	2094.868494432678
5MTHFt_pos	1900.0
5OXPROt_neg	16850.973876735843
5OXPROt_pos	9834.462295125326
5THFtl_pos	3815.281949073373
5THFtm_pos	6303.832693557523
6DHFtl_pos	4591.241101030021
6DHFtm_pos	6691.089255144146
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	70431.4867835797
6HTSTSTERONEtr_neg	70431.48678357969
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	4591.241101030021
6THFtm_pos	6691.089255144148
7DHCHSTEROLtr_neg	12757.305884026757
7DHCHSTEROLtr_pos	113445.87881835223
7DHFtl_pos	5108.5472023344555
7DHFtm_pos	6950.6812520390595
7THFtl_pos	5108.547202334455
7THFtm_pos	6950.681252039058
A4GALTc_pos	0.0
A4GALTg_pos	15478.685068299175
A4GNT1g_pos	0.0
A4GNT2g_pos	330.774234476008
AACOAT_pos	10234.106460881538
AACTOOR_pos	17853.77313445256
AACTtm_pos	17853.77313445256
AASAD3m_pos	53.87572516087966
AATAi_neg	8163.521855498624
AATAi_pos	73.42062447621758
ABO1g_pos	13967.214648519828
ABO2g_pos	12985.550855881207
ABO3g_pos	13498.62980028699
ABO4g_pos	12761.4763986161
ABO5g_pos	12761.4763986161
ABO6g_pos	12098.396669253048
ABO7g_pos	12098.396669253048
ABO8g_pos	12226.01541309998
ABO9g_pos	10940.214357218247
ABTArm_neg	16410.727393902802
ABTArm_pos	20897.581230794734
ABTD_neg	5337.617321556724
ABTD_pos	10.149053746030116
ABTti_pos	5337.617321556724
ABUTD_pos	23864.66059129101
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	1724.486344246235
ABUTt2r_pos	1735.7401998592145
ABUTt4_2_r_neg	1735.740199859214
ABUTt4_2_r_pos	1724.486344246235
ACACT10m_neg	24873.36410165497
ACACT10m_pos	20943.966819222416
ACACT1r_neg	19706.210481507893
ACACT1r_pos	30904.436637801806
ACACT1rm_pos	15461.744477174423
ACACT1x_pos	20869.987748665124
ACACT4p_pos	45316.62387372381
ACACT5p_pos	45316.6238737238
ACACT6p_pos	45316.62387372381
ACACT7p_pos	43681.217498954866
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	2116.5946084228212
ACACt2_pos	2116.5946084228212
ACACt2m_neg	2850.0
ACACt2m_pos	2850.0
ACACtx_neg	10281.849560346545
ACACtx_pos	0.0
ACALDt_neg	7880.127838983149
ACALDt_pos	6.606550797364047
ACALDtm_neg	14286.89022675136
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	73535.87963899074
ACALDtx_neg	0.0
ACALDtx_pos	14.546614078046806
ACCOAC_pos	6731.518708795536
ACCOACm_pos	7006.022345684479
ACCOAL_pos	5830.544946493655
ACCOALm_pos	9345.121449684668
ACCOAgt_neg	0.0
ACCOAgt_pos	29257.12759664211
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	4089.9774911324366
ACCOAtr_pos	4089.9774911324366
ACETONEt2_neg	17534.532991437893
ACETONEt2_pos	8.411016527310435
ACETONEt2m_neg	17534.5329914379
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	15173.649563243944
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	15173.649563243944
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	12761.476398616103
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	12761.476398616098
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	12098.396669253052
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	12098.39666925305
ACGALK2_pos	676.9806413616308
ACGALK_pos	674.5817918206618
ACGALtlg_neg	1227.0533181363967
ACGALtlg_pos	0.0
ACGALtly_pos	674.5817918206619
ACGAM2E_neg	6130.32100151944
ACGAM2E_pos	41764.66535336514
ACGAM6PSi_pos	7034.824972810335
ACGAMK_pos	6130.321001519439
ACGAMPM_neg	0.0
ACGAMPM_pos	6130.321001519438
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	1227.053318136397
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	1227.053318136397
ACGPID_pos	55.35137372671748
ACGSm_pos	0.0
ACHEe_pos	10237.115372914684
ACHVESSEC_pos	6549.184919537586
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	13039.167138950661
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	16024.638637207398
ACN13ACNGALGBSIDEtg_neg	16024.638637207405
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	16024.638637207398
ACN23ACNGALGBSIDEtg_neg	16024.638637207405
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	18106.406976932318
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	18106.40697693232
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	16006.331785700533
ACNACNGALGBSIDEtg_neg	16006.33178570054
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	10896.879281433847
ACNAM9PL_pos	11320.038487337164
ACNAMPH_pos	11320.038487337164
ACNAMlt_neg	24596.089591953118
ACNAMlt_pos	0.0
ACNAMtn_pos	8822.440736517561
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	14398.295121691668
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	14398.295121691674
ACNMLr_neg	28671.019078211648
ACNMLr_pos	11320.038487337164
ACOAD10m_pos	2850.0
ACOAD1fm_pos	37676.99191079787
ACOAD8m_pos	2850.0
ACOAD9m_pos	24694.721431821126
ACOAHi_pos	6986.159636857123
ACOAO7p_pos	38446.14818013489
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	2850.0
ACONT_pos	2850.0
ACONTm_neg	2850.0
ACONTm_pos	2850.0
ACOX22x_pos	94706.29511381872
ACOX2x_pos	86043.4947797281
ACP1_FMN__pos	5756.355853067809
ACRNtm_pos	9231.214464175737
ACS2_pos	6986.1596368571245
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	6986.159636857123
ACSm_pos	9294.276990475066
ACTLMO_pos	6428.90632188015
ACTNMO_pos	25159.029783192615
ACYP_pos	4784.617243715864
ACt2m_neg	10211.873381295694
ACt2m_pos	9797.993558943821
ACt2r_neg	2116.5946084228212
ACt2r_pos	2116.5946084228212
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	9815.172595127602
ADAe_pos	10815.915743408992
ADCim_pos	17534.53299143789
ADEt_neg	6801.595597036773
ADEt_pos	38001.10031536007
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	2160.1498165410903
