	WT.EPA.a_S117_L007_R1_001
10FTHF5GLUtl_pos	3241.511679541309
10FTHF5GLUtm_pos	3818.9975197610133
10FTHF6GLUtl_pos	3505.9835247265723
10FTHF6GLUtm_pos	3886.5085038614307
10FTHF7GLUtl_pos	3653.6487462877244
10FTHF7GLUtm_pos	3932.3828290663755
10FTHFtl_neg	3241.511679541309
10FTHFtl_pos	0.0
10FTHFtm_neg	5174.488322325714
10FTHFtm_pos	13151.15996196086
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52238.27889752752
11DOCRTSLtr_neg	52238.27889752752
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54876.23259915704
11DOCRTSTRNtr_neg	54876.23259915705
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30335.81273379712
1MNCAMti_pos	47.307554646719325
1PPDCRp_pos	49.15664102047563
1a25DHVITD3TRn_pos	50487.293556019344
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.3192808196475
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.973563654910965
24_25DHVITD2tm_pos	10.973563654910965
24_25DHVITD3t_pos	50436.36812984812
24_25DHVITD3tm_pos	52277.78880766675
24_25VITD2Hm_pos	10.973563654910965
24_25VITD3Hm_pos	52277.78880766675
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50487.29355601934
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	8048.838629941782
2AMACSULT_pos	19118.793094184544
2AMADPTm_pos	4171.145931792717
2DR1PP_pos	4431.13736987513
2HBO_neg	7661.055555970483
2HBO_pos	8.167625971162767
2HBt2_neg	390.3272225657762
2HBt2_pos	390.3272225657762
2HCO3_NAt_neg	294.3651333597576
2HCO3_NAt_pos	293.67799313270945
2MB2COAc_neg	0.0
2MB2COAc_pos	12173.508371636095
2MCITt_neg	0.0
2MCITt_pos	14677.35242818378
2OXOADOXm_pos	69.73582962649469
2OXOADPTm_neg	4171.145931792718
2OXOADPTm_pos	94.7338527042939
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	32110.12570697372
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	32110.125706973686
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	529.3239365942133
34DHPHEt_neg	529.3239365942133
34DHPHEt_pos	4.247706014755914
34DHPLACOX_NADP__neg	1018.9683156101842
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1018.9683156101842
34DHXMANDACOX_NADP__neg	1018.9683156101842
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1018.9683156101842
34HPLFM_pos	46011.75572056531
34HPPOR_pos	46270.16041664486
34HPPte_neg	8412.16875013202
34HPPte_pos	6835.693425142454
35CGMPtn_neg	0.0
35CGMPtn_pos	11063.334188485573
3AIBTm_neg	0.0
3AIBTm_pos	10914.881331010576
3AIB_Dtm_neg	11728.618439903545
3AIB_Dtm_pos	19642.117971954984
