	Ob.1012.c_S140_L007_R1_001
10FTHF5GLUtl_pos	3206.441801551969
10FTHF5GLUtm_pos	3774.7694172942224
10FTHF6GLUtl_pos	3451.023840364692
10FTHF6GLUtm_pos	3839.943035098546
10FTHF7GLUtl_pos	3586.566237011178
10FTHF7GLUtm_pos	3885.860643342656
10FTHFtl_neg	3206.4418015519686
10FTHFtl_pos	0.0
10FTHFtm_neg	5097.044580044307
10FTHFtm_pos	12636.868191687847
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51560.993591214596
11DOCRTSLtr_neg	51560.99359121459
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54188.295931723835
11DOCRTSTRNtr_neg	54188.29593172382
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	29777.47414500321
1MNCAMti_pos	46.33387723819366
1PPDCRp_pos	48.56482028504437
1a25DHVITD3TRn_pos	49910.04052713322
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.03146995094617
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.867672066122777
24_25DHVITD2tm_pos	10.867672066122777
24_25DHVITD3t_pos	49858.52431805944
24_25DHVITD3tm_pos	51769.89249792297
24_25VITD2Hm_pos	10.867672066122777
24_25VITD3Hm_pos	51769.89249792297
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49910.04052713322
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7623.257349798182
2AMACSULT_pos	18718.246086546504
2AMADPTm_pos	3872.818042549724
2DR1PP_pos	4296.511534042587
2HBO_neg	7468.895799223681
2HBO_pos	7.962472498509019
2HBt2_neg	387.69551568735545
2HBt2_pos	387.69551568735545
2HCO3_NAt_neg	293.11098433781376
2HCO3_NAt_pos	311.1569086909411
2MB2COAc_neg	0.0
2MB2COAc_pos	11905.292847903995
2MCITt_neg	0.0
2MCITt_pos	14389.789805811735
2OXOADOXm_pos	68.80160035407246
2OXOADPTm_neg	3872.8180425497244
2OXOADPTm_pos	93.68418379353747
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31462.880094599317
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31462.88009459932
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	591.134148331833
34DHPHEt_neg	591.134148331833
34DHPHEt_pos	4.140935069426297
34DHPLACOX_NADP__neg	957.4652587140968
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	957.4652587140968
34DHXMANDACOX_NADP__neg	957.4652587140968
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	957.4652587140968
34HPLFM_pos	45075.33009213989
34HPPOR_pos	45722.67577789329
34HPPte_neg	8305.153676278196
34HPPte_pos	6770.832756418917
35CGMPtn_neg	0.0
35CGMPtn_pos	10890.693855436588
3AIBTm_neg	0.0
3AIBTm_pos	10703.760975192252
3AIB_Dtm_neg	11534.900680065286
3AIB_Dtm_pos	18961.735545168176
3AIBt_pos	10703.760975192254
3AIBtm_pos	10703.760975192254
3DPHBH1_pos	45075.3300921399
3DPHBH2_pos	45087.88369766928
3DSPHR_pos	19115.52310932361
3HAO_pos	47.07862211013695
3HBCDm_neg	0.0
3HBCDm_pos	8573.779018685922
3HBCOAHLm_pos	12671.153784292765
3HBCOARc_neg	0.0
3HBCOARc_pos	8573.779018685922
3HCO3_NAt_neg	598.0403892603101
3HCO3_NAt_pos	598.3160919241091
3HKYNAKGAT_pos	1242.518471409193
3HLYTCL_pos	9302.491527524275
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12755.551312354242
3MOBt2im_pos	4027.7180682332382
3MOBte_neg	6.303715484779666
3MOBte_pos	7630.035546737009
3MOPt2im_pos	4027.7599630848636
3MOPte_neg	23.219807724606035
3MOPte_pos	7543.467145591226
3MOX4HOXPGALDOX_NADP__neg	915.302091882785
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	915.302091882785
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14392.880473637319
3SALAASPm_pos	0.0
3SALACBOXL_pos	9928.27807513272
3SALAOX_pos	26503.201291608977
3SALATAi_pos	13589.18545947512
3SALATAim_pos	14392.88047363732
3SPYRSP_pos	13589.18545947512
3SPYRSPm_pos	14392.88047363732
41R1H2MAE12BOOX_pos	39207.96963756598
41R2A1H12BOOX_pos	31462.88009459932
42A12BOOX_pos	0.0
4ABUTtcn_pos	9399.541306670882
4ABUTtm_neg	9398.854853415538
4ABUTtm_pos	12376.429974083603
4HBZCOAFm_pos	45075.33009213989
4HBZFm_pos	45075.33009213989
4HDEBRISOQUINEte_neg	7.45181303193123
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1322.5870227138253
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10844.064953532192
4HPROLTASCT1_pos	1721.1242763659561
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4027.7599630848636
4MOPte_neg	7291.15213305233
4MOPte_pos	7607.971703149702
4MPTNLte_neg	0.0
4MPTNLte_pos	61052.745085915405
4MPTNLtm_neg	61052.7450859154
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.45181303193123
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.4006377680206
4NPHSFte_pos	0.0
4NPHSULT_pos	22.4006377680206
4NPHte_neg	0.0
4NPHte_pos	14.03146995094617
4OHPROIMINOtc_pos	1721.1242763659561
4PYRDX_pos	7940.47957467641
5ADTSTSTERONEGLCte_pos	68787.52247553681
5ADTSTSTERONEGLCtr_neg	68787.52247553677
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7195.244644458226
5ADTSTSTERONESte_neg	8.258083033373428
5ADTSTSTERONESte_pos	54603.07834806724
5ADTSTSTERONEte_neg	55217.9387965167
5ADTSTSTERONEte_pos	7.199819164912916
5ADTSTSTERONEtr_neg	38.538732012642946
5ADTSTSTERONEtr_pos	55216.16213441044
5AOPtm_neg	14522.882342432755
5AOPtm_pos	0.0
5DHFtl_pos	3208.320748646563
5FTHFt2_neg	0.0
5FTHFt2_pos	6.429304197115365
5HLTDL_pos	7.489654621929888
5HOMEPRAZOLEte_neg	7.45181303193123
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	443.14601712475246
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.492006468572612
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15121.881030717928
5MTAte_pos	15019.87092692303
5MTHFt2_neg	1271.4052759855556
5MTHFt2_pos	1271.4052759855556
5MTHFt2le_neg	2334.350843180403
5MTHFt2le_pos	2334.350843180403
5MTHFt_neg	1271.4052759855556
5MTHFt_pos	1271.4052759855556
5OXPROt_neg	10106.41330870602
5OXPROt_pos	6043.959267413385
5THFtl_pos	3206.923950277213
5THFtm_pos	3774.769417294221
6DHFtl_pos	3451.0238403646918
6DHFtm_pos	3839.943035098547
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	51983.55264235482
6HTSTSTERONEtr_neg	51983.552642354836
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3451.023840364692
6THFtm_pos	3839.9430350985467
7DHCHSTEROLtr_neg	10909.522146233023
7DHCHSTEROLtr_pos	76166.8098433522
7DHFtl_pos	3586.566237011178
7DHFtm_pos	3885.8606433426567
7THFtl_pos	3586.566237011178
7THFtm_pos	3885.860643342657
A4GALTc_pos	0.0
A4GALTg_pos	11172.405598631845
A4GNT1g_pos	0.0
A4GNT2g_pos	251.63634979806602
AACOAT_pos	4096.752568892503
AACTOOR_pos	12013.198011985814
AACTtm_pos	12013.198011985814
AASAD3m_pos	26.235928151774985
AATAi_neg	3872.818042549725
AATAi_pos	48.56482028504437
ABO1g_pos	10448.874217651619
ABO2g_pos	10075.896220707855
ABO3g_pos	10217.263430289739
ABO4g_pos	9420.14893058174
ABO5g_pos	9420.14893058174
ABO6g_pos	8820.785302898914
ABO7g_pos	8820.785302898914
ABO8g_pos	9111.518452775628
ABO9g_pos	8200.547798611236
ABTArm_neg	9398.854853415536
ABTArm_pos	12376.429974083607
ABTD_neg	5071.381741876335
ABTD_pos	7.929050214536817
ABTti_pos	5071.381741876335
ABUTD_pos	12245.45419657754
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	504.3962547907552
ABUTt2r_pos	616.2541992937588
ABUTt4_2_r_neg	616.2541992937588
ABUTt4_2_r_pos	504.3962547907552
ACACT10m_neg	13512.541780813503
ACACT10m_pos	9683.601247307177
ACACT1r_neg	7057.3681695355845
ACACT1r_pos	15964.581414665108
ACACT1rm_pos	5006.051285702515
ACACT1x_pos	9638.365842523483
ACACT4p_pos	24006.71220089649
ACACT5p_pos	24006.71220089649
ACACT6p_pos	24006.71220089648
ACACT7p_pos	23348.028007516397
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	387.8071215085017
ACACt2_pos	387.8071215085017
ACACt2m_neg	1240.6400414637358
ACACt2m_pos	1240.6400414637358
ACACtx_neg	5722.036213303959
ACACtx_pos	0.0
ACALDt_neg	6262.906988770956
ACALDt_pos	5.142603988715379
ACALDtm_neg	8903.349738058503
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54226.704355172755
ACALDtx_neg	0.0
ACALDtx_pos	11.73345986020269
ACCOAC_pos	4179.097415355561
ACCOACm_pos	4209.2352070984
ACCOAL_pos	3228.960331164692
ACCOALm_pos	4330.192729363546
ACCOAgt_neg	0.0
ACCOAgt_pos	19103.337856160786
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1478.0932438195825
ACCOAtr_pos	1478.0932438195825
ACETONEt2_neg	10540.939079434374
ACETONEt2_pos	5.51413700576592
ACETONEt2m_neg	10540.939079434378
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10952.388260752634
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10952.388260752638
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9420.14893058174
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9420.14893058174
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8820.785302898914
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8820.785302898912
ACGALK2_pos	544.5501181406908
ACGALK_pos	543.5659377110975
ACGALtlg_neg	906.1874271854637
ACGALtlg_pos	0.0
ACGALtly_pos	543.5659377110975
ACGAM2E_neg	3894.1984625371306
ACGAM2E_pos	29780.540273491155
ACGAM6PSi_pos	3412.5420724575365
ACGAMK_pos	3894.19846253713
ACGAMPM_neg	0.0
ACGAMPM_pos	3894.1984625371306
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	906.1874271854635
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	906.1874271854635
ACGPID_pos	51.121322949608434
ACGSm_pos	0.0
ACHEe_pos	5295.274698537648
ACHVESSEC_pos	4061.288144038524
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5740.369179446221
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11108.624641887427
ACN13ACNGALGBSIDEtg_neg	11108.624641887425
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11108.624641887427
ACN23ACNGALGBSIDEtg_neg	11108.624641887425
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12261.570631628418
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12261.570631628412
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11137.211384084438
ACNACNGALGBSIDEtg_neg	11137.211384084436
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8597.369549634615
ACNAM9PL_pos	8282.503911740348
ACNAMPH_pos	8282.503911740348
ACNAMlt_neg	17793.105637938133
ACNAMlt_pos	0.0
ACNAMtn_pos	8766.1128768814
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10021.077555759553
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10021.07755575955
ACNMLr_neg	18421.780959247506
ACNMLr_pos	8282.503911740348
ACOAD10m_pos	297.41818749491836
ACOAD1fm_pos	18177.117530661813
ACOAD8m_pos	326.6671057891746
ACOAD9m_pos	11893.256016223555
ACOAHi_pos	3211.6293141449332
ACOAO7p_pos	17584.906288624246
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1180.705773617832
ACONT_pos	1180.705773617832
ACONTm_neg	317.914040569735
ACONTm_pos	317.914040569735
ACOX22x_pos	68379.71626102185
ACOX2x_pos	58414.83085697749
ACP1_FMN__pos	3321.964909214955
ACRNtm_pos	2298.57283575006
ACS2_pos	3195.6980143323262
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	3211.629314144935
ACSm_pos	4305.1852033433
ACTLMO_pos	5485.835993462156
ACTNMO_pos	14229.267126113999
ACYP_pos	3165.757092917824
ACt2m_neg	4134.642460309994
ACt2m_pos	4747.25022316652
ACt2r_neg	1216.4804954531082
ACt2r_pos	1216.4804954531082
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	7365.152198623383
ADAe_pos	7534.326186068645
ADCim_pos	10540.939079434378
ADEt_neg	6128.188518653221
ADEt_pos	30490.702376995447
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	1161.1663744963603
ADK1_pos	1161.1663744963603
ADK1m_neg	412.1461508603047
ADK1m_pos	412.1461508603047
ADK3_neg	1161.1663744963603
ADK3_pos	1161.1663744963603
ADK3m_neg	412.1461508603047
ADK3m_pos	412.1461508603047
ADKd_neg	1158.665358550298
ADKd_pos	1158.665358550298
ADMDC_pos	15121.881030717928
ADNCYC_pos	3273.3240338769324
ADNK1_pos	3260.80067785392
ADNK1m_pos	2374.180506406545
ADNK3_pos	4160.498787217905
ADNK4_pos	4160.498787217905
ADNt4_pos	861.6852701595326
ADNt5le_pos	1389.3095764529469
ADNt_neg	861.6852701595326
ADNt_pos	1203.2310062073107
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	5739.097471707674
ADNtm_pos	8127.707041835747
ADPACDAc_pos	7805.029076870707
ADPACTD_neg	0.0
ADPACTD_pos	7805.029076870707
ADPCOACROT_neg	7805.029076870706
ADPCOACROT_pos	61465.282240690685
ADPCOAPTE_pos	7805.029076870708
ADPGLC_pos	0.0
ADPMAN_pos	0.0
ADPRDP_pos	7847.157697856113
ADPRDPm_pos	0.0
ADPRIBt_pos	17.684410184177707
ADPT_pos	3802.9452379569443
ADPtx_neg	2850.0
ADPtx_pos	2850.0
ADRNCOAtx_neg	10.039961195925354
ADRNCOAtx_pos	14847.88567420933
ADRNCPT1_pos	325.4542207654492
ADRNCPT2_pos	325.4542207654492
ADRNCRNt_pos	325.4542207654492
ADRNLPVESSEC_pos	36990.626209328744
ADRNt_neg	1190.2767521830178
ADRNt_pos	1195.5151027951977
ADSELK_pos	0.0
ADSK_pos	3286.440878781887
ADSL1_pos	8799.003109560237
ADSL2_pos	20323.13469632729
ADSS_pos	8799.003109560237
AFLATOXINte_neg	0.0
AFLATOXINte_pos	7.45181303193123
AG13T10g_pos	10699.126503006304
AG13T11g_pos	10699.126503006304
AG13T12g_pos	10699.126503006304
AG13T13g_pos	10699.126503006304
AG13T14g_pos	10699.126503006304
AG13T15g_pos	10699.126503006304
AG13T16g_pos	7447.747361667593
AG13T17g_pos	7447.747361667593
AG13T18g_pos	7447.747361667593
AG13T1g_pos	7481.665358473605
AG13T2g_pos	7481.665358473605
AG13T3g_pos	7481.665358473605
AG13T4g_pos	10699.126503006304
AG13T5g_pos	10699.126503006304
AG13T6g_pos	10699.126503006304
AG13T7g_pos	10699.126503006304
AG13T8g_pos	10699.126503006304
AG13T9g_pos	10699.126503006304
AGDC_pos	3412.542072457538
AGLPC_pos	0.0
AGLPED_pos	0.0
AGLPET_pos	0.0
AGLPH_pos	0.0
AGLPR_pos	0.0
AGLPT_pos	0.0
AGMTm_pos	23288.39837724624
AGPAT1_pos	10234.88462465584
AGPRim_pos	0.0
AGPSx_pos	0.0
AGPex_neg	0.0
AGPex_pos	0.0
AGTim_pos	8714.925151592868
AGTix_pos	12209.039181164479
AHANDROSTANGLCte_pos	0.0
AHANDROSTANGLCtr_neg	0.0
AHANDROSTANGLCtr_pos	0.0
AHCYStd_neg	2121.606330394804
AHCYStd_pos	2121.606330394804
