	WT-EPA-d_S142_L007_R1_001
10FTHF5GLUtl_pos	3224.3783263032014
10FTHF5GLUtm_pos	3798.34960783755
10FTHF6GLUtl_pos	3481.543277869344
10FTHF6GLUtm_pos	3868.6799575859695
10FTHF7GLUtl_pos	3623.6373689261854
10FTHF7GLUtm_pos	3916.400751727359
10FTHFtl_neg	3224.378326303201
10FTHFtl_pos	0.0
10FTHFtm_neg	5332.28418654366
10FTHFtm_pos	13174.666483378869
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52117.4916010113
11DOCRTSLtr_neg	52117.49160101124
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54715.97330192344
11DOCRTSTRNtr_neg	54715.97330192348
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30361.11464535052
1MNCAMti_pos	47.24093342859972
1PPDCRp_pos	49.245902047540675
1a25DHVITD3TRn_pos	50512.16808928585
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.176265845974577
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.978606864502094
24_25DHVITD2tm_pos	10.978606864502094
24_25DHVITD3t_pos	50461.34073034634
24_25DHVITD3tm_pos	52270.938525990336
24_25VITD2Hm_pos	10.978606864502094
24_25VITD3Hm_pos	52270.938525990336
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50512.16808928585
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	8007.218122273657
2AMACSULT_pos	19448.029918837732
2AMADPTm_pos	3961.517536116284
2DR1PP_pos	4386.525749687693
2HBO_neg	7706.583824264111
2HBO_pos	8.164397573781317
2HBt2_neg	496.2995087227695
2HBt2_pos	496.2995087227695
2HCO3_NAt_neg	358.0781519545564
2HCO3_NAt_pos	380.96698098508807
2MB2COAc_neg	0.0
2MB2COAc_pos	12104.447760723466
2MCITt_neg	0.0
2MCITt_pos	14641.90962206445
2OXOADOXm_pos	69.64116903578507
2OXOADPTm_neg	3961.5175361162846
2OXOADPTm_pos	94.71397352673242
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31939.2748682064
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31939.274868206398
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	615.2292855510182
34DHPHEt_neg	615.2292855510182
34DHPHEt_pos	4.205152617727964
34DHPLACOX_NADP__neg	1107.7339355010247
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1107.7339355010247
34DHXMANDACOX_NADP__neg	1107.7339355010247
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1107.7339355010247
34HPLFM_pos	45869.491587450844
34HPPOR_pos	46116.01234334187
34HPPte_neg	8597.270678402856
34HPPte_pos	6857.409593179965
35CGMPtn_neg	0.0
35CGMPtn_pos	11194.852744685522
3AIBTm_neg	0.0
3AIBTm_pos	10859.8794823971
3AIB_Dtm_neg	11686.626402111955
3AIB_Dtm_pos	19431.783187297297
3AIBt_pos	10859.8794823971
3AIBtm_pos	10859.8794823971
3DPHBH1_pos	45869.49158745085
3DPHBH2_pos	45892.93804658205
3DSPHR_pos	19769.00615435313
3HAO_pos	47.63323705428359
3HBCDm_neg	0.0
3HBCDm_pos	8751.342686245505
3HBCOAHLm_pos	12831.771868893187
3HBCOARc_neg	0.0
3HBCOARc_pos	8751.342686245507
3HCO3_NAt_neg	648.5176432357194
3HCO3_NAt_pos	648.5176432357194
3HKYNAKGAT_pos	1185.235452220142
3HLYTCL_pos	9454.241267028809
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12993.816752107316
3MOBt2im_pos	4099.72476301745
3MOBte_neg	6.424538276298956
3MOBte_pos	7786.100167770851
3MOPt2im_pos	4099.86175596498
3MOPte_neg	23.73562263932039
3MOPte_pos	7701.093603502892
3MOX4HOXPGALDOX_NADP__neg	1048.5913291697534
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1048.5913291697534
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14800.233347037518
3SALAASPm_pos	0.0
3SALACBOXL_pos	10029.107744955654
3SALAOX_pos	26836.878729381096
3SALATAi_pos	13944.298317929692
3SALATAim_pos	14800.23334703752
3SPYRSP_pos	13944.298317929692
3SPYRSPm_pos	14800.23334703752
41R1H2MAE12BOOX_pos	39691.28365185013
41R2A1H12BOOX_pos	31939.27486820644
42A12BOOX_pos	0.0
4ABUTtcn_pos	9691.126571565608
4ABUTtm_neg	9688.90427187058
4ABUTtm_pos	12621.841753080162
4HBZCOAFm_pos	45869.491587450844
4HBZFm_pos	45869.491587450844
4HDEBRISOQUINEte_neg	7.519104593966967
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1340.930908670492
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	11035.760193606944
4HPROLTASCT1_pos	1914.5319650738875
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4099.86175596498
4MOPte_neg	7431.7894408456
4MOPte_pos	7761.665323186446
4MPTNLte_neg	0.0
4MPTNLte_pos	61685.732905054094
4MPTNLtm_neg	61685.732905054116
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.519104593966968
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.79752017398995
4NPHSFte_pos	0.0
4NPHSULT_pos	22.79752017398995
4NPHte_neg	0.0
4NPHte_pos	14.176265845974575
4OHPROIMINOtc_pos	1914.5319650738875
4PYRDX_pos	8055.8893783439935
5ADTSTSTERONEGLCte_pos	69670.17221299834
5ADTSTSTERONEGLCtr_neg	69670.17221299834
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	8068.812036106531
5ADTSTSTERONESte_neg	8.431980122561788
5ADTSTSTERONESte_pos	55260.43012250529
5ADTSTSTERONEte_neg	55922.1925156607
5ADTSTSTERONEte_pos	7.246083254616695
5ADTSTSTERONEtr_neg	39.63728565456844
5ADTSTSTERONEtr_pos	55917.96223087797
5AOPtm_neg	14805.280766145788
5AOPtm_pos	0.0
5DHFtl_pos	3226.1256842847124
5FTHFt2_neg	0.0
5FTHFt2_pos	6.723096214173494
5HLTDL_pos	7.570432858080349
5HOMEPRAZOLEte_neg	7.519104593966968
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	524.6602458496302
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.64657133299386
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15411.00360830579
5MTAte_pos	15130.07367687744
5MTHFt2_neg	1373.6807084944041
5MTHFt2_pos	1373.6807084944041
5MTHFt2le_neg	2519.5079309694515
5MTHFt2le_pos	2519.5079309694515
5MTHFt_neg	1373.6807084944041
5MTHFt_pos	1373.6807084944041
5OXPROt_neg	10368.29333442189
5OXPROt_pos	6275.934992365878
5THFtl_pos	3224.7904972231827
5THFtm_pos	3798.349607837548
6DHFtl_pos	3481.5432778693435
6DHFtm_pos	3868.679957585969
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52615.49752867773
6HTSTSTERONEtr_neg	52615.497528677755
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3481.5432778693444
6THFtm_pos	3868.679957585969
7DHCHSTEROLtr_neg	10981.359620375704
7DHCHSTEROLtr_pos	77027.20423652742
7DHFtl_pos	3623.637368926186
7DHFtm_pos	3916.400751727359
7THFtl_pos	3623.637368926186
7THFtm_pos	3916.4007517273594
A4GALTc_pos	0.0
A4GALTg_pos	11500.855509715137
A4GNT1g_pos	0.0
A4GNT2g_pos	260.6502557148743
AACOAT_pos	4314.004687268984
AACTOOR_pos	12409.54521341013
AACTtm_pos	12409.54521341013
AASAD3m_pos	26.621222612617693
AATAi_neg	3961.5175361162846
AATAi_pos	49.24590204754067
ABO1g_pos	10784.646621053498
ABO2g_pos	10399.20024320587
ABO3g_pos	10593.382527090806
ABO4g_pos	9774.137220141465
ABO5g_pos	9774.137220141465
ABO6g_pos	9157.050622318724
ABO7g_pos	9157.050622318724
ABO8g_pos	9458.180233963609
ABO9g_pos	8508.903645065617
ABTArm_neg	9688.90427187058
ABTArm_pos	12621.841753080163
ABTD_neg	5079.344249503373
ABTD_pos	8.036611476781024
ABTti_pos	5079.344249503373
ABUTD_pos	12505.746010887819
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	508.9142379044951
ABUTt2r_pos	635.5391660086539
ABUTt4_2_r_neg	635.5391660086541
ABUTt4_2_r_pos	508.9142379044951
ACACT10m_neg	13785.608696669286
ACACT10m_pos	9910.378375362372
ACACT1r_neg	7488.181919805151
ACACT1r_pos	16468.318555800965
ACACT1rm_pos	5332.618358628841
ACACT1x_pos	10089.031823618221
ACACT4p_pos	24703.80396229348
ACACT5p_pos	24703.80396229348
ACACT6p_pos	24703.80396229348
ACACT7p_pos	24030.104167735346
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	496.5946978988943
ACACt2_pos	496.5946978988943
ACACt2m_neg	1332.5116782061075
ACACt2m_pos	1332.5116782061075
ACACtx_neg	5908.717885858382
ACACtx_pos	0.0
ACALDt_neg	6336.892845913524
ACALDt_pos	5.261686253609778
ACALDtm_neg	9177.25657682284
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54901.31150574659
ACALDtx_neg	0.0
ACALDtx_pos	11.835110956388435
ACCOAC_pos	4290.502144333151
ACCOACm_pos	4275.809820202682
ACCOAL_pos	3321.1811426592376
ACCOALm_pos	4747.797944109315
ACCOAgt_neg	0.0
ACCOAgt_pos	19708.33292477315
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1582.5889913822004
ACCOAtr_pos	1582.5889913822004
ACETONEt2_neg	10798.338597651762
ACETONEt2_pos	5.607893243366956
ACETONEt2m_neg	10798.338597651767
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11274.352474122361
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11274.352474122361
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9774.137220141469
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9774.13722014147
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	9157.05062231873
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	9157.050622318724
ACGALK2_pos	560.6294970296702
ACGALK_pos	559.60424749649
ACGALtlg_neg	937.9947543613863
ACGALtlg_pos	0.0
ACGALtly_pos	559.60424749649
ACGAM2E_neg	4118.994519247219
ACGAM2E_pos	30565.83396379299
ACGAM6PSi_pos	3544.0939989822887
ACGAMK_pos	4118.994519247219
ACGAMPM_neg	0.0
ACGAMPM_pos	4118.994519247218
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	937.9947543613862
ACGBGBSIDEtg_pos	0.0
