	Ob.EPA.c_S137_L007_R1_001
10FTHF5GLUtl_pos	3218.7686900428353
10FTHF5GLUtm_pos	3767.422305078842
10FTHF6GLUtl_pos	3453.230822553685
10FTHF6GLUtm_pos	3829.555556393649
10FTHF7GLUtl_pos	3588.379361862011
10FTHF7GLUtm_pos	3872.853237669279
10FTHFtl_neg	3218.7686900428353
10FTHFtl_pos	0.0
10FTHFtm_neg	5067.572737690047
10FTHFtm_pos	12612.989380903082
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51680.77033491394
11DOCRTSLtr_neg	51680.770334913985
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54308.14426978374
11DOCRTSTRNtr_neg	54308.144269783756
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30013.653719836562
1MNCAMti_pos	46.47346268584009
1PPDCRp_pos	48.5477437629382
1a25DHVITD3TRn_pos	49888.54796430169
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.09445550466333
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.900562512644534
24_25DHVITD2tm_pos	10.900562512644534
24_25DHVITD3t_pos	49837.07079720069
24_25DHVITD3tm_pos	51861.680465213496
24_25VITD2Hm_pos	10.900562512644534
24_25VITD3Hm_pos	51861.680465213496
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49888.54796430169
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7665.7006784935575
2AMACSULT_pos	18708.13193783907
2AMADPTm_pos	3871.566142765151
2DR1PP_pos	4377.702397802299
2HBO_neg	7467.831551863383
2HBO_pos	7.951322035946995
2HBt2_neg	388.7779504626376
2HBt2_pos	388.7779504626376
2HCO3_NAt_neg	295.77554274953235
2HCO3_NAt_pos	312.66454159481447
2MB2COAc_neg	0.0
2MB2COAc_pos	11952.706347671412
2MCITt_neg	0.0
2MCITt_pos	14383.059632252958
2OXOADOXm_pos	68.57815473182222
2OXOADPTm_neg	3871.566142765151
2OXOADPTm_pos	93.50209149670863
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31653.77148937857
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31653.771489378527
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	600.0595782170222
34DHPHEt_neg	600.0595782170222
34DHPHEt_pos	4.160858614263903
34DHPLACOX_NADP__neg	1009.1980897067805
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1009.1980897067805
34DHXMANDACOX_NADP__neg	1009.1980897067805
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1009.1980897067805
34HPLFM_pos	45345.06886992288
34HPPOR_pos	46293.0953730016
34HPPte_neg	8287.57498627526
34HPPte_pos	6777.7416148229295
35CGMPtn_neg	0.0
35CGMPtn_pos	10981.337807332757
3AIBTm_neg	0.0
3AIBTm_pos	10700.748642144941
3AIB_Dtm_neg	11533.467887175937
3AIB_Dtm_pos	18918.05570369829
3AIBt_pos	10700.748642144941
3AIBtm_pos	10700.748642144941
3DPHBH1_pos	45345.0688699229
3DPHBH2_pos	45346.86454268597
3DSPHR_pos	19255.633374748122
3HAO_pos	46.94519971962594
3HBCDm_neg	0.0
3HBCDm_pos	8609.222297553168
3HBCOAHLm_pos	12655.016067681412
3HBCOARc_neg	0.0
3HBCOARc_pos	8609.22229755317
3HCO3_NAt_neg	595.7126835110882
3HCO3_NAt_pos	595.9940125776313
3HKYNAKGAT_pos	1228.217195818217
3HLYTCL_pos	9351.11618703411
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12891.174044158803
3MOBt2im_pos	4032.5603343807525
3MOBte_neg	6.371668589596014
3MOBte_pos	7686.494223306139
3MOPt2im_pos	4032.5999229129284
3MOPte_neg	23.37966355409167
3MOPte_pos	7593.3121676387445
3MOX4HOXPGALDOX_NADP__neg	973.2329621575741
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	973.2329621575741
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14504.01678348171
3SALAASPm_pos	0.0
3SALACBOXL_pos	9934.77718921131
3SALAOX_pos	26613.994535817463
3SALATAi_pos	13701.428615896153
3SALATAim_pos	14504.016783481708
3SPYRSP_pos	13701.428615896153
3SPYRSPm_pos	14504.016783481708
41R1H2MAE12BOOX_pos	39498.1655502137
41R2A1H12BOOX_pos	31653.771489378534
42A12BOOX_pos	0.0
4ABUTtcn_pos	9492.865586064401
4ABUTtm_neg	9399.35017116998
4ABUTtm_pos	12739.169207354917
4HBZCOAFm_pos	45345.068869922914
4HBZFm_pos	45345.068869922914
4HDEBRISOQUINEte_neg	7.512779301159848
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1319.6181313421348
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10912.3280916128
4HPROLTASCT1_pos	1716.3090886313237
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4032.5999229129284
4MOPte_neg	7342.139609694271
4MOPte_pos	7664.556065156047
4MPTNLte_neg	0.0
4MPTNLte_pos	61234.51739172478
4MPTNLtm_neg	61234.517391724796
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.512779301159849
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.526204648351822
4NPHSFte_pos	0.0
4NPHSULT_pos	22.526204648351822
4NPHte_neg	0.0
4NPHte_pos	14.09445550466333
4OHPROIMINOtc_pos	1716.3090886313237
4PYRDX_pos	8055.712263104192
5ADTSTSTERONEGLCte_pos	69298.92891290167
5ADTSTSTERONEGLCtr_neg	69298.92891290165
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7132.90828701155
5ADTSTSTERONESte_neg	8.399305692338698
5ADTSTSTERONESte_pos	54765.14022573673
5ADTSTSTERONEte_neg	55438.92447131416
5ADTSTSTERONEte_pos	7.2246280116124595
5ADTSTSTERONEtr_neg	38.798539511230054
5ADTSTSTERONEtr_pos	55433.56474229037
5AOPtm_neg	14490.56845218268
5AOPtm_pos	0.0
5DHFtl_pos	3227.8961543722817
5FTHFt2_neg	0.0
5FTHFt2_pos	6.416328779744745
5HLTDL_pos	7.498740962352956
5HOMEPRAZOLEte_neg	7.512779301159849
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	463.56936820741805
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.517622580368639
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15120.102669923526
5MTAte_pos	15326.366729175836
5MTHFt2_neg	1263.202497898656
5MTHFt2_pos	1263.202497898656
5MTHFt2le_neg	2320.3731886830387
5MTHFt2le_pos	2320.3731886830387
5MTHFt_neg	1263.202497898656
5MTHFt_pos	1263.202497898656
5OXPROt_neg	10205.833165151882
5OXPROt_pos	6083.89539282781
5THFtl_pos	3219.0538652418777
5THFtm_pos	3767.4223050788437
6DHFtl_pos	3453.230822553684
6DHFtm_pos	3829.555556393649
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52187.65939289626
6HTSTSTERONEtr_neg	52187.65939289626
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3453.2308225536844
6THFtm_pos	3829.555556393649
7DHCHSTEROLtr_neg	10906.220868970355
7DHCHSTEROLtr_pos	76728.631604401
7DHFtl_pos	3588.3793618620093
7DHFtm_pos	3872.8532376692774
7THFtl_pos	3588.3793618620102
7THFtm_pos	3872.8532376692783
A4GALTc_pos	0.0
A4GALTg_pos	11180.904283396172
A4GNT1g_pos	0.0
A4GNT2g_pos	253.38013340052288
AACOAT_pos	4139.467109443403
AACTOOR_pos	12122.40280680156
AACTtm_pos	12122.40280680156
AASAD3m_pos	26.300261220203215
AATAi_neg	3871.5661427651517
AATAi_pos	48.547743762938204
ABO1g_pos	10528.734989972418
ABO2g_pos	10155.033307321324
ABO3g_pos	10299.968596605873
ABO4g_pos	9503.972612486625
