	Ob-b_S131_L007_R1_001
10FTHF5GLUtl_pos	3220.863829395205
10FTHF5GLUtm_pos	3795.4526951801354
10FTHF6GLUtl_pos	3473.9493851800385
10FTHF6GLUtm_pos	3861.04187720599
10FTHF7GLUtl_pos	3615.91067091415
10FTHF7GLUtm_pos	3907.3210094503374
10FTHFtl_neg	3220.863829395204
10FTHFtl_pos	0.0
10FTHFtm_neg	5178.420239812775
10FTHFtm_pos	12825.06667110588
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	51539.64235267232
11DOCRTSLtr_neg	51539.642352672316
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54113.32694784425
11DOCRTSTRNtr_neg	54113.326947844245
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30085.599142637242
1MNCAMti_pos	46.433384937732036
1PPDCRp_pos	48.427624468404794
1a25DHVITD3TRn_pos	49853.76449217718
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.054183072206332
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.926940246183985
24_25DHVITD2tm_pos	10.926940246183985
24_25DHVITD3t_pos	49802.148753497786
24_25DHVITD3tm_pos	51713.793890110195
24_25VITD2Hm_pos	10.926940246183985
24_25VITD3Hm_pos	51713.793890110195
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	49853.76449217719
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7757.968747467175
2AMACSULT_pos	19050.900576983466
2AMADPTm_pos	3841.7349503710584
2DR1PP_pos	4328.675999364992
2HBO_neg	7442.280106496508
2HBO_pos	7.9711844355029795
2HBt2_neg	396.1273778103033
2HBt2_pos	396.1273778103033
2HCO3_NAt_neg	273.36678602560295
2HCO3_NAt_pos	287.0026327168972
2MB2COAc_neg	0.0
2MB2COAc_pos	11878.668740774456
2MCITt_neg	0.0
2MCITt_pos	14430.279386531247
2OXOADOXm_pos	68.70898328338103
2OXOADPTm_neg	3841.7349503710575
2OXOADPTm_pos	93.5904608498013
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31533.655476338266
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31533.65547633826
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	599.9412696424266
34DHPHEt_neg	599.9412696424266
34DHPHEt_pos	4.119485771962856
34DHPLACOX_NADP__neg	907.6199642914487
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	907.6199642914487
34DHXMANDACOX_NADP__neg	907.6199642914487
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	907.6199642914487
34HPLFM_pos	45607.62638283901
34HPPOR_pos	45760.73033443703
34HPPte_neg	8428.646214097695
34HPPte_pos	6792.496868572381
35CGMPtn_neg	0.0
35CGMPtn_pos	10965.579615427449
3AIBTm_neg	0.0
3AIBTm_pos	10708.686532821295
3AIB_Dtm_neg	11551.72181791703
3AIB_Dtm_pos	18965.216471897296
3AIBt_pos	10708.686532821295
3AIBtm_pos	10708.686532821295
3DPHBH1_pos	45607.626382839
3DPHBH2_pos	45617.5960527488
3DSPHR_pos	19382.520417031166
3HAO_pos	47.13887277827067
3HBCDm_neg	0.0
3HBCDm_pos	8536.260422862393
3HBCOAHLm_pos	12606.603641730304
3HBCOARc_neg	0.0
3HBCOARc_pos	8536.260422862393
3HCO3_NAt_neg	562.296408927006
3HCO3_NAt_pos	562.8785556419783
3HKYNAKGAT_pos	1221.5049563823047
3HLYTCL_pos	9328.872905437584
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	12971.877208782573
3MOBt2im_pos	3994.6979453603753
3MOBte_neg	6.387446105037437
3MOBte_pos	7732.220302445277
3MOPt2im_pos	3994.6979453603763
3MOPte_neg	23.473379819080613
3MOPte_pos	7609.432806706843
3MOX4HOXPGALDOX_NADP__neg	874.8295652943884
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	874.8295652943884
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14105.207414019113
3SALAASPm_pos	0.0
3SALACBOXL_pos	9996.951944931056
3SALAOX_pos	26596.338620089384
3SALATAi_pos	13366.392370733682
3SALATAim_pos	14105.207414019107
3SPYRSP_pos	13366.392370733682
3SPYRSPm_pos	14105.207414019107
41R1H2MAE12BOOX_pos	39464.18250837822
41R2A1H12BOOX_pos	31533.655476338266
42A12BOOX_pos	0.0
4ABUTtcn_pos	9369.358178894134
4ABUTtm_neg	9437.122030009
4ABUTtm_pos	12305.89301276303
4HBZCOAFm_pos	45607.62638283901
4HBZFm_pos	45607.62638283901
4HDEBRISOQUINEte_neg	7.485319951562107
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1310.8658949429841
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10862.317699827538
4HPROLTASCT1_pos	1675.2688773908067
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	3994.6979453603763
4MOPte_neg	7333.1513484762845
4MOPte_pos	7700.14907618935
4MPTNLte_neg	0.0
4MPTNLte_pos	61003.14818997111
4MPTNLtm_neg	61003.148189971136
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.485319951562107
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.504270418117724
4NPHSFte_pos	0.0
4NPHSULT_pos	22.504270418117727
4NPHte_neg	0.0
4NPHte_pos	14.054183072206328
4OHPROIMINOtc_pos	1675.2688773908067
4PYRDX_pos	7994.079355078951
5ADTSTSTERONEGLCte_pos	68846.34700844943
5ADTSTSTERONEGLCtr_neg	68846.34700844943
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7118.474858199542
5ADTSTSTERONESte_neg	7.977783435908096
5ADTSTSTERONESte_pos	54674.95636716379
5ADTSTSTERONEte_neg	55288.90476319157
5ADTSTSTERONEte_pos	7.215560242392172
5ADTSTSTERONEtr_neg	38.58841780719872
5ADTSTSTERONEtr_pos	55290.60976564923
5AOPtm_neg	14527.065081462006
5AOPtm_pos	0.0
5DHFtl_pos	3222.450038625606
5FTHFt2_neg	0.0
5FTHFt2_pos	6.438093317014298
5HLTDL_pos	7.49354877808482
5HOMEPRAZOLEte_neg	7.485319951562107
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	440.4872845905082
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	7.47956642155835
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	15155.472939367683
5MTAte_pos	14996.895657818131
5MTHFt2_neg	1295.1347702273474
5MTHFt2_pos	1295.1347702273474
5MTHFt2le_neg	2339.912591950147
5MTHFt2le_pos	2339.912591950147
5MTHFt_neg	1295.1347702273474
5MTHFt_pos	1295.1347702273474
5OXPROt_neg	10253.080128718271
5OXPROt_pos	6099.153923081843
5THFtl_pos	3221.5753412144586
5THFtm_pos	3795.452695180131
6DHFtl_pos	3473.9493851800385
6DHFtm_pos	3861.0418772059893
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	52027.645264278246
6HTSTSTERONEtr_neg	52027.64526427823
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	3473.9493851800385
6THFtm_pos	3861.0418772059884
7DHCHSTEROLtr_neg	10989.052321696578
7DHCHSTEROLtr_pos	76487.26835220789
7DHFtl_pos	3615.91067091415
7DHFtm_pos	3907.3210094503365
7THFtl_pos	3615.91067091415
7THFtm_pos	3907.3210094503347
A4GALTc_pos	0.0
A4GALTg_pos	11286.07482604376
A4GNT1g_pos	0.0
A4GNT2g_pos	253.56641498075817
AACOAT_pos	4191.286691282155
AACTOOR_pos	12328.931603283392
AACTtm_pos	12328.931603283392
AASAD3m_pos	26.27608734745006
AATAi_neg	3841.7349503710584
AATAi_pos	48.42762446840479
ABO1g_pos	10627.008361996915
ABO2g_pos	10266.47300380456
ABO3g_pos	10405.882027598385
ABO4g_pos	9602.709543552217
ABO5g_pos	9602.709543552217
ABO6g_pos	8986.121686978544
ABO7g_pos	8986.121686978544
ABO8g_pos	9279.152407927375
ABO9g_pos	8362.758348289917
ABTArm_neg	9437.122030009003
ABTArm_pos	12305.893012763028
ABTD_neg	5053.602467231127
ABTD_pos	7.877719843072068
ABTti_pos	5053.602467231127
ABUTD_pos	12503.339739062782
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	494.08702679309306
ABUTt2r_pos	605.768257643639
ABUTt4_2_r_neg	605.7682576436389
ABUTt4_2_r_pos	494.08702679309306
ACACT10m_neg	13467.493955328297
ACACT10m_pos	9610.632434795945
ACACT1r_neg	7069.517469240496
ACACT1r_pos	16070.297064687715
ACACT1rm_pos	5018.109856833621
ACACT1x_pos	9667.529118361184
ACACT4p_pos	24079.559152809536
ACACT5p_pos	24079.55915280953
ACACT6p_pos	24079.55915280953
ACACT7p_pos	23424.589626500638
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	396.21002303000705
ACACt2_pos	396.21002303000705
ACACt2m_neg	1275.2045844114862
ACACt2m_pos	1275.2045844114862
ACACtx_neg	5814.56125327859
ACACtx_pos	0.0
ACALDt_neg	6285.673418370481
ACALDt_pos	5.149932711403355
ACALDtm_neg	8996.942064928577
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	54276.62428216327
ACALDtx_neg	0.0
ACALDtx_pos	11.764949163220784
ACCOAC_pos	4259.465745484566
ACCOACm_pos	4285.595761115793
ACCOAL_pos	3322.28649000179
ACCOALm_pos	4498.445494921462
ACCOAgt_neg	0.0
ACCOAgt_pos	19226.25841712927
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	1448.5535375457735
ACCOAtr_pos	1448.5535375457735
ACETONEt2_neg	10554.808556339718
ACETONEt2_pos	5.4761858932125325
ACETONEt2m_neg	10554.80855633971
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	11063.832896936448
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	11063.832896936445
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9602.709543552219
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9602.709543552219
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8986.121686978544
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8986.121686978542
ACGALK2_pos	544.0628522888381
ACGALK_pos	543.087494630387
ACGALtlg_neg	908.631051662174
ACGALtlg_pos	0.0
ACGALtly_pos	543.087494630387
ACGAM2E_neg	4012.5932777264293
ACGAM2E_pos	30041.48232487389
ACGAM6PSi_pos	3466.8638952086467
ACGAMK_pos	4012.5932777264297
ACGAMPM_neg	0.0
ACGAMPM_pos	4012.5932777264297
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	908.6310516621741
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	908.6310516621741
ACGPID_pos	50.88180008453143
ACGSm_pos	0.0
ACHEe_pos	5317.718846847729
ACHVESSEC_pos	4111.087728560743
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5819.157324491114
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11192.402222713054
ACN13ACNGALGBSIDEtg_neg	11192.402222713054
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11192.402222713054
ACN23ACNGALGBSIDEtg_neg	11192.402222713054
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12381.822022471633
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12381.822022471633
ACNACNGALGBSIDEte_neg	0.0
