	Tcon_Spleen_Tcon4_L2
10FTHF5GLUtl_pos	3817.3113134256164
10FTHF5GLUtm_pos	6309.709422516815
10FTHF6GLUtl_pos	4594.547887179983
10FTHF6GLUtm_pos	6699.090020884936
10FTHF7GLUtl_pos	5112.705603016226
10FTHF7GLUtm_pos	6959.963701731165
10FTHFtl_neg	3817.3113134256164
10FTHFtl_pos	0.0
10FTHFtm_neg	10667.033304507419
10FTHFtm_pos	22522.556755519192
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	68990.12669440788
11DOCRTSLtr_neg	68990.12669440788
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	71758.71554429128
11DOCRTSTRNtr_neg	71758.71554429129
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	47370.86081669306
1MNCAMti_pos	60.42251706071552
1PPDCRp_pos	73.77208374754281
1a25DHVITD3TRn_pos	66028.54020651689
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	17.043309725653987
24NPHte_pos	0.0
24_25DHVITD2t_pos	13.606749871409304
24_25DHVITD2tm_pos	13.606749871409304
24_25DHVITD3t_pos	65935.89260235018
24_25DHVITD3tm_pos	68676.00247361146
24_25VITD2Hm_pos	13.606749871409304
24_25VITD3Hm_pos	68676.00247361136
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	66028.54020651673
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	11113.965916174755
2AMACSULT_pos	28987.629462475525
2AMADPTm_pos	8167.4510004777085
2DR1PP_pos	6183.908722583864
2HBO_neg	16189.924676529165
2HBO_pos	11.273338549765754
2HBt2_neg	1462.297464272179
2HBt2_pos	1462.297464272179
2HCO3_NAt_neg	1428.7032337435683
2HCO3_NAt_pos	1428.7032337435683
2MB2COAc_neg	0.0
2MB2COAc_pos	19821.792813828615
2MCITt_neg	0.0
2MCITt_pos	24955.59871983929
2OXOADOXm_pos	128.83132333069364
2OXOADPTm_neg	8167.451000477712
2OXOADPTm_pos	149.84541528301742
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	45699.885045908246
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	45699.885045908246
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	837.8199805638442
34DHPHEt_neg	837.8199805638442
34DHPHEt_pos	4.9748515906786235
34DHPLACOX_NADP__neg	1591.3062510831132
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	1591.3062510831132
34DHXMANDACOX_NADP__neg	1591.3062510831132
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	1591.3062510831132
34HPLFM_pos	74348.82691711279
34HPPOR_pos	66094.44474684088
34HPPte_neg	11050.386968672186
34HPPte_pos	7639.035148820096
35CGMPtn_neg	0.0
35CGMPtn_pos	14604.56486619966
3AIBTm_neg	0.0
3AIBTm_pos	19129.0346527081
3AIB_Dtm_neg	18993.358738250052
3AIB_Dtm_pos	33513.000059054066
3AIBt_pos	19129.034652708106
3AIBtm_pos	19129.034652708106
3DPHBH1_pos	74348.82691711269
3DPHBH2_pos	74352.47617210531
3DSPHR_pos	29890.4508757997
3HAO_pos	77.48798670893689
3HBCDm_neg	0.0
3HBCDm_pos	18260.972495301765
3HBCOAHLm_pos	24163.364213789693
3HBCOARc_neg	0.0
3HBCOARc_pos	18260.972495301765
3HCO3_NAt_neg	2049.822090566254
3HCO3_NAt_pos	2100.363682948154
3HKYNAKGAT_pos	2850.0
3HLYTCL_pos	12172.662734426984
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	17338.956955583053
3MOBt2im_pos	6053.344740292096
3MOBte_neg	6.709609364087065
3MOBte_pos	8376.548541151198
3MOPt2im_pos	6053.344740292096
3MOPte_neg	26.23769218822156
3MOPte_pos	8374.020735733524
3MOX4HOXPGALDOX_NADP__neg	1591.3062510831132
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	1591.3062510831132
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	26448.483695802053
3SALAASPm_pos	0.0
3SALACBOXL_pos	13063.90249620734
3SALAOX_pos	33903.97162333013
3SALATAi_pos	21292.532597941758
3SALATAim_pos	26448.48369580206
3SPYRSP_pos	21292.532597941758
3SPYRSPm_pos	26448.48369580206
41R1H2MAE12BOOX_pos	55717.20166405995
41R2A1H12BOOX_pos	45699.88504590825
42A12BOOX_pos	0.0
4ABUTtcn_pos	13714.9994001484
4ABUTtm_neg	16412.90142286121
4ABUTtm_pos	21063.697810373036
4HBZCOAFm_pos	74348.82691711279
4HBZFm_pos	74348.82691711279
4HDEBRISOQUINEte_neg	7.54747974410329
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	4011.911101530317
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	15864.228620867329
4HPROLTASCT1_pos	2408.6077803820594
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	6053.344740292096
4MOPte_neg	8894.146075517649
4MOPte_pos	8367.40510110764
4MPTNLte_neg	0.0
4MPTNLte_pos	79164.19988314279
4MPTNLtm_neg	79164.19988314273
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.622301094678164
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	29.50802909333349
4NPHSFte_pos	0.0
4NPHSULT_pos	29.508029093333498
4NPHte_neg	0.0
4NPHte_pos	17.043309725653987
4OHPROIMINOtc_pos	2408.6077803820594
4PYRDX_pos	10823.799822253288
5ADTSTSTERONEGLCte_pos	93043.26196472459
5ADTSTSTERONEGLCtr_neg	93043.2619647246
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	13176.576924348672
5ADTSTSTERONESte_neg	9.273528601065614
5ADTSTSTERONESte_pos	72540.6849397624
5ADTSTSTERONEte_neg	74624.49691475523
5ADTSTSTERONEte_pos	8.188910659027734
5ADTSTSTERONEtr_neg	45.42562437556779
5ADTSTSTERONEtr_pos	74628.2141176583
5AOPtm_neg	21783.062867114844
5AOPtm_pos	0.0
5DHFtl_pos	3817.3113134256164
5FTHFt2_neg	0.0
5FTHFt2_pos	10.815850304781268
5HLTDL_pos	10.136816491371583
5HOMEPRAZOLEte_neg	7.622301094678162
5HOMEPRAZOLEte_pos	0.0
5HOXINDACTO2OX_pos	3800.0
5HOXINDACTOXm_pos	0.0
5HOXINOXDA_pos	0.0
5HTRPDOX_pos	0.0
5HTRPVESSEC_pos	9.513411532969906
5HXKYNDCL_pos	0.0
5HXKYNOXDA_pos	0.0
5MTAte_neg	21246.259203172856
5MTAte_pos	17153.57973116429
5MTHFt2_neg	2078.5369408509905
5MTHFt2_pos	2078.5369408509905
5MTHFt2le_neg	2257.073881701981
5MTHFt2le_pos	2257.073881701981
5MTHFt_neg	2078.5369408509905
5MTHFt_pos	1900.0
5OXPROt_neg	16428.13144450794
5OXPROt_pos	9666.128695581487
5THFtl_pos	3817.3113134256164
5THFtm_pos	6309.709422516816
6DHFtl_pos	4594.547887179982
6DHFtm_pos	6699.090020884934
6HTSTSTERONEte_neg	0.0
6HTSTSTERONEte_pos	69517.8437411562
6HTSTSTERONEtr_neg	69517.84374115622
6HTSTSTERONEtr_pos	0.0
6THFtl_pos	4594.547887179984
6THFtm_pos	6699.090020884936
7DHCHSTEROLtr_neg	12744.652902275766
7DHCHSTEROLtr_pos	111956.9868397652
7DHFtl_pos	5112.705603016226
7DHFtm_pos	6959.963701731164
7THFtl_pos	5112.705603016225
7THFtm_pos	6959.963701731163
A4GALTc_pos	0.0
A4GALTg_pos	15414.857302275303
A4GNT1g_pos	0.0
A4GNT2g_pos	330.42146487575434
AACOAT_pos	10182.591501848412
AACTOOR_pos	17775.966277574014
AACTtm_pos	17775.966277574014
AASAD3m_pos	54.01898320668331
AATAi_neg	8167.4510004777085
AATAi_pos	73.7720837475428
ABO1g_pos	14040.19203684839
ABO2g_pos	13059.708125131187
ABO3g_pos	13571.885339289922
ABO4g_pos	12888.146461064573
ABO5g_pos	12888.146461064573
ABO6g_pos	12218.162252536056
ABO7g_pos	12218.162252536056
ABO8g_pos	12291.341715558412
ABO9g_pos	11015.542446445856
ABTArm_neg	16412.901422861207
ABTArm_pos	21063.697810373033
ABTD_neg	5345.831804019618
ABTD_pos	9.450384765191135
ABTti_pos	5345.831804019618
ABUTD_pos	23910.317798677606
ABUTt2rL_neg	0.0
ABUTt2rL_pos	0.0
ABUTt2r_neg	1706.9136565021968
ABUTt2r_pos	1748.5655344102606
ABUTt4_2_r_neg	1748.5655344102606
ABUTt4_2_r_pos	1706.9136565021968
ACACT10m_neg	24902.09876287904
ACACT10m_pos	20854.067349791065
ACACT1r_neg	19692.38282576291
ACACT1r_pos	31254.873603748085
ACACT1rm_pos	15520.334323605553
ACACT1x_pos	20794.4428325635
ACACT4p_pos	45026.97537975266
ACACT5p_pos	45026.975379752614
ACACT6p_pos	45026.97537975266
ACACT7p_pos	43391.97317667136
ACACT8p_pos	0.0
ACACT9p_pos	0.0
ACACt2_neg	2156.1487321360896
ACACt2_pos	2156.1487321360896
ACACt2m_neg	2850.0
ACACt2m_pos	2850.0
ACACtx_neg	10182.736157770192
ACACtx_pos	0.0
ACALDt_neg	8027.378406254411
ACALDt_pos	6.80589859936344
ACALDtm_neg	14563.866912443717
ACALDtm_pos	0.0
ACALDtr_neg	0.0
ACALDtr_pos	72590.96707313893
ACALDtx_neg	0.0
ACALDtx_pos	14.57629010188713
ACCOAC_pos	6736.799135297338
ACCOACm_pos	7010.243717130642
ACCOAL_pos	5769.119192175315
ACCOALm_pos	9349.974019046354
ACCOAgt_neg	0.0
ACCOAgt_pos	29390.797468184723
ACCOAtn_neg	5700.0
ACCOAtn_pos	5700.0
ACCOAtr_neg	4085.6427360039793
ACCOAtr_pos	4085.6427360039793
ACETONEt2_neg	17711.989696572957
ACETONEt2_pos	8.555518630667954
ACETONEt2m_neg	17711.989696572953
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	15111.799898087009
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	15111.799898087009
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	12888.14646106457
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	12888.146461064567
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	12218.162252536058
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	12218.162252536054
ACGALK2_pos	671.5590025419427
ACGALK_pos	669.0023904370761
ACGALtlg_neg	1213.9857659326804
ACGALtlg_pos	0.0
ACGALtly_pos	669.0023904370761
ACGAM2E_neg	6233.620286341067
ACGAM2E_pos	42132.59128521865
ACGAM6PSi_pos	6892.107979933787
ACGAMK_pos	6233.620286341067
ACGAMPM_neg	0.0
ACGAMPM_pos	6233.620286341067
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	1213.9857659326804
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	1213.9857659326804
ACGPID_pos	54.85236428909473
ACGSm_pos	0.0
ACHEe_pos	10388.94878723167
ACHVESSEC_pos	6548.799822253279
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	13104.964371361162
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	16051.303224843048
ACN13ACNGALGBSIDEtg_neg	16051.303224843063
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	16051.303224843048
ACN23ACNGALGBSIDEtg_neg	16051.303224843063
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	18131.400439255547
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	18131.400439255554
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	16013.391637876368
ACNACNGALGBSIDEtg_neg	16013.391637876382
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	11086.907269445577
ACNAM9PL_pos	11332.70011668127
ACNAMPH_pos	11332.70011668127
ACNAMlt_neg	24601.373207841494
ACNAMlt_pos	0.0
ACNAMtn_pos	8806.80974716749
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	14429.320910306395
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	14429.320910306398
ACNMLr_neg	28850.239436562053
ACNMLr_pos	11332.70011668127
ACOAD10m_pos	2850.0
ACOAD1fm_pos	37828.49266035867
ACOAD8m_pos	2850.0
ACOAD9m_pos	24837.095182506553
ACOAHi_pos	6941.574810953886
ACOAO7p_pos	38123.282165980636
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	2850.0
ACONT_pos	2850.0
ACONTm_neg	2850.0
ACONTm_pos	2850.0
ACOX22x_pos	93980.99052613603
ACOX2x_pos	85002.10043359471
ACP1_FMN__pos	5751.905606141255
ACRNtm_pos	9229.671523132642
ACS2_pos	6941.574810953886
ACSOMT_pos	0.0
ACSRTNMT_pos	0.0
ACS_pos	6892.107979933787
ACSm_pos	9301.34949055414
ACTLMO_pos	6366.042168562268
ACTNMO_pos	25679.896356939116
ACYP_pos	4771.360017652279
ACt2m_neg	10230.000165429741
ACt2m_pos	9968.305093424393
ACt2r_neg	2156.1487321360896
ACt2r_pos	2156.1487321360896
ACtg_neg	0.0
ACtg_pos	0.0
ADA_pos	10088.914884598575
ADAe_pos	10945.07201453866
ADCim_pos	17711.989696572957
ADEt_neg	6921.09506597492
ADEt_pos	37900.75887583103
ADEtl_neg	0.0
ADEtl_pos	0.0
ADHAPtx_neg	0.0
ADHAPtx_pos	0.0
ADK1_neg	2169.975832962956
ADK1_pos	2169.975832962956
ADK1m_neg	2850.0
ADK1m_pos	2850.0
ADK3_neg	2169.975832962956
ADK3_pos	2169.975832962956
ADK3m_neg	2850.0
ADK3m_pos	2850.0
ADKd_neg	2169.975832962956
ADKd_pos	2169.975832962956
ADMDC_pos	21246.25920317286
ADNCYC_pos	6174.885124934646
ADNK1_pos	5249.470755623226
ADNK1m_pos	3706.091373517375
ADNK3_pos	6021.560379817462
ADNK4_pos	6021.857128842365
ADNt4_pos	554.619166356706
ADNt5le_pos	1747.4892387333714
ADNt_neg	554.619166356706
ADNt_pos	1226.387109823233
ADNtl_neg	0.0
ADNtl_pos	0.0
ADNtm_neg	10920.425059722404
