	WT.1012.d_S145_L007_R1_001
10FTHF5GLUtl_pos	3227.0292736696033
10FTHF5GLUtm_pos	3797.201768524168
10FTHF6GLUtl_pos	3481.770242404767
10FTHF6GLUtm_pos	3865.8280493991188
10FTHF7GLUtl_pos	3624.47881866937
10FTHF7GLUtm_pos	3913.0550763313236
10FTHFtl_neg	3227.029273669603
10FTHFtl_pos	0.0
10FTHFtm_neg	5317.998045619406
10FTHFtm_pos	13080.399706181219
11DOCRTSLtm_neg	0.0
11DOCRTSLtm_pos	52070.60183541942
11DOCRTSLtr_neg	52070.60183541941
11DOCRTSLtr_pos	0.0
11DOCRTSTRNtm_neg	0.0
11DOCRTSTRNtm_pos	54612.85545122391
11DOCRTSTRNtr_neg	54612.85545122391
11DOCRTSTRNtr_pos	0.0
13DAMPPOX_pos	30426.271550753176
1MNCAMti_pos	47.0307089767448
1PPDCRp_pos	49.20485712962524
1a25DHVITD3TRn_pos	50456.18273657444
1a_24_25VITD2Hm_pos	0.0
1a_24_25VITD3Hm_pos	0.0
1a_25VITD2Hm_pos	0.0
1a_25VITD3Hm_pos	0.0
24NPHte_neg	14.225913809283842
24NPHte_pos	0.0
24_25DHVITD2t_pos	10.958264986139325
24_25DHVITD2tm_pos	10.958264986139325
24_25DHVITD3t_pos	50405.22051869369
24_25DHVITD3tm_pos	52226.792280491645
24_25VITD2Hm_pos	10.958264986139325
24_25VITD3Hm_pos	52226.792280491645
25HVITD2t_pos	1900.0
25HVITD2tin_m_pos	1900.0
25HVITD2tin_pos	1900.0
25HVITD2tm_pos	1900.0
25HVITD3c_pos	50456.18273657445
25HVITD3t_pos	1900.0
25HVITD3tin_m_pos	1900.0
25HVITD3tin_pos	1900.0
25HVITD3tm_pos	1900.0
25VITD2Hm_pos	0.0
25VITD3Hm_pos	0.0
2AMACHYD_pos	7907.728957477091
2AMACSULT_pos	19042.303300561845
2AMADPTm_pos	4002.347648126911
2DR1PP_pos	4415.718437875295
2HBO_neg	7660.745370110664
2HBO_pos	8.120090314077851
2HBt2_neg	459.8961447205054
2HBt2_pos	459.8961447205054
2HCO3_NAt_neg	348.57229068366604
2HCO3_NAt_pos	368.6309422602575
2MB2COAc_neg	0.0
2MB2COAc_pos	12148.453522329104
2MCITt_neg	0.0
2MCITt_pos	14615.381085285173
2OXOADOXm_pos	69.54009856745172
2OXOADPTm_neg	4002.347648126912
2OXOADPTm_pos	94.62701218207994
34DHOXPEGOX_neg	0.0
34DHOXPEGOX_pos	31920.637917645832
34DHOXPEGt_neg	0.0
34DHOXPEGt_pos	31920.637917645832
34DHPHAMT_pos	0.0
34DHPHELAT1tc_pos	575.0211201585817
34DHPHEt_neg	575.0211201585817
34DHPHEt_pos	4.191545503048417
34DHPLACOX_NADP__neg	999.2001394916233
34DHPLACOX_NADP__pos	0.0
34DHPLACOX_pos	999.2001394916233
34DHXMANDACOX_NADP__neg	999.2001394916233
34DHXMANDACOX_NADP__pos	0.0
34DHXMANDACOX_pos	999.2001394916233
34HPLFM_pos	46054.22848196552
34HPPOR_pos	46153.651277385914
34HPPte_neg	8436.64220550335
34HPPte_pos	6840.894382759313
35CGMPtn_neg	0.0
35CGMPtn_pos	10851.9919533033
3AIBTm_neg	0.0
3AIBTm_pos	10847.779435785646
3AIB_Dtm_neg	11676.622483395584
3AIB_Dtm_pos	19301.140369931894
3AIBt_pos	10847.779435785646
3AIBtm_pos	10847.779435785646
3DPHBH1_pos	46054.228481965496
3DPHBH2_pos	46081.851901909926
3DSPHR_pos	19765.438284350854
3HAO_pos	47.62344923755895
3HBCDm_neg	0.0
3HBCDm_pos	8782.564981371273
3HBCOAHLm_pos	12829.514795505122
3HBCOARc_neg	0.0
3HBCOARc_pos	8782.564981371277
3HCO3_NAt_neg	634.2139863319335
3HCO3_NAt_pos	634.5331586323471
3HKYNAKGAT_pos	1182.8942499187237
3HLYTCL_pos	9477.337721911636
3HPCOAHYD_pos	0.0
3HPPD_neg	0.0
3HPPD_pos	0.0
3HXKYNDCL_pos	0.0
3HXKYNOXDA_pos	0.0
3M4HDXPAC_neg	0.0
3M4HDXPAC_pos	0.0
3MLDAt_neg	0.0
3MLDAt_pos	13034.289014638058
3MOBt2im_pos	4139.089843672296
3MOBte_neg	6.3775952797456785
3MOBte_pos	7736.793701825027
3MOPt2im_pos	4139.128544105069
3MOPte_neg	23.527232769067247
3MOPte_pos	7658.148631175212
3MOX4HOXPGALDOX_NADP__neg	960.026107969564
3MOX4HOXPGALDOX_NADP__pos	0.0
3MOX4HOXPGALDOX_pos	960.026107969564
3MOXTYROX_pos	0.0
3NTD7l_pos	0.0
3SALAASPm_neg	14652.397149357472
3SALAASPm_pos	0.0
3SALACBOXL_pos	10057.319524271656
3SALAOX_pos	26810.36154103538
3SALATAi_pos	13761.465098815966
3SALATAim_pos	14652.39714935748
3SPYRSP_pos	13761.465098815966
3SPYRSPm_pos	14652.39714935748
41R1H2MAE12BOOX_pos	39759.15935732351
41R2A1H12BOOX_pos	31920.637917645836
42A12BOOX_pos	0.0
4ABUTtcn_pos	9578.23011612595
4ABUTtm_neg	9639.474479917035
4ABUTtm_pos	12560.478122494114
4HBZCOAFm_pos	46054.22848196551
4HBZFm_pos	46054.22848196551
4HDEBRISOQUINEte_neg	7.55486977330094
4HDEBRISOQUINEte_pos	0.0
4HGLSDm_pos	1344.94217657251
4HOXPACDOX_NADP__neg	0.0
4HOXPACDOX_NADP__pos	10990.054222789719
4HPROLTASCT1_pos	1922.2639658542912
4HPRO_LTte_neg	0.0
4HPRO_LTte_pos	2850.0
4MOPt2im_pos	4139.128544105069
4MOPte_neg	7433.478057576648
4MOPte_pos	7717.133985543603
4MPTNLte_neg	0.0
4MPTNLte_pos	61498.41179920289
4MPTNLtm_neg	61498.41179920291
4MPTNLtm_pos	0.0
4MPTNLtr_neg	0.0
4MPTNLtr_pos	0.0
4MTOLBUTAMIDEte_neg	7.554869773300941
4MTOLBUTAMIDEte_pos	0.0
4NPHSFte_neg	22.82195544862464
4NPHSFte_pos	0.0
4NPHSULT_pos	22.82195544862464
4NPHte_neg	0.0
4NPHte_pos	14.225913809283842
4OHPROIMINOtc_pos	1922.2639658542912
4PYRDX_pos	8083.539943312963
5ADTSTSTERONEGLCte_pos	69796.93419177813
5ADTSTSTERONEGLCtr_neg	69796.93419177813
5ADTSTSTERONEGLCtr_pos	0.0
5ADTSTSTERONESULT_pos	7845.912479360801
